"","RNA_conc_ng/ul","total_amount_ug","number_rxns","amt_RNA_left_ng","vol_cDNA_ul","5X_mix_ul","10X_enzyme_ul","H2O_vol_ul","final_vol","sufficient RNA?"
"eyGAL4,Dl;yw",577.03,11.54,577.03,11040.6,0.87,4,2,13.13,20,TRUE
"eyGAL4;dop-PDZ",123.04,2.46,123.04,1960.8,4.06,4,2,9.94,20,TRUE
"eyGAL4;dop-DUF",228.23,4.56,228.23,4064.6,2.19,4,2,11.81,20,TRUE
"eyGAL4;dop-RNAi-v35100",241.94,4.84,241.94,4338.8,2.07,4,2,11.93,20,TRUE
"eyGAL4;dop-GFP",155.21,3.1,155.21,2604.2,3.22,4,2,10.78,20,TRUE
"eyGAL4;dop-RNAi-BL44547",74.65,1.49,74.65,993,6.7,4,2,7.3,20,TRUE
"eyGAL4;dop-kin",114.82,2.3,114.82,1796.4,4.35,4,2,9.65,20,TRUE
"eyGAL4;dop-HA",114.48,2.29,114.48,1789.6,4.37,4,2,9.63,20,TRUE
"eyGAL4;CG10147-RNAi-v31183",529.03,10.58,529.03,10080.6,0.95,4,2,13.05,20,TRUE
"eyGAL4;dop-RNAi-BL27698",246.07,4.92,246.07,4421.4,2.03,4,2,11.97,20,TRUE
"eyGAL4;CG10147-RNAi-v18787",441.38,8.83,441.38,8327.6,1.13,4,2,12.87,20,TRUE
