"","x"
"1",-10
"2",-25.0684931506849
"3",-40.1369863013699
"4",-55.2054794520548
"5",-70.2739726027397
"6",-85.3424657534247
"7",-100.41095890411
"8",-115.479452054795
"9",-130.547945205479
"10",-145.616438356164
"11",-160.684931506849
"12",-175.753424657534
"13",-190.821917808219
"14",-205.890410958904
"15",-220.958904109589
"16",-236.027397260274
"17",-251.095890410959
"18",-266.164383561644
"19",-281.232876712329
"20",-296.301369863014
"21",-311.369863013699
"22",-326.438356164384
"23",-341.506849315069
"24",-356.575342465753
"25",-371.643835616438
"26",-386.712328767123
"27",-401.780821917808
"28",-416.849315068493
"29",-431.917808219178
"30",-446.986301369863
"31",-462.054794520548
"32",-477.123287671233
"33",-492.191780821918
"34",-507.260273972603
"35",-522.328767123288
"36",-537.397260273973
"37",-552.465753424658
"38",-567.534246575342
"39",-582.602739726027
"40",-597.671232876712
"41",-612.739726027397
"42",-627.808219178082
"43",-642.876712328767
"44",-657.945205479452
"45",-673.013698630137
"46",-688.082191780822
"47",-703.150684931507
"48",-718.219178082192
"49",-733.287671232877
"50",-748.356164383562
"51",-763.424657534247
"52",-778.493150684931
"53",-793.561643835616
"54",-808.630136986301
"55",-823.698630136986
"56",-838.767123287671
"57",-853.835616438356
"58",-868.904109589041
"59",-883.972602739726
"60",-899.041095890411
"61",-914.109589041096
"62",-929.178082191781
"63",-944.246575342466
"64",-959.315068493151
"65",-974.383561643836
"66",-989.452054794521
"67",-1004.52054794521
"68",-1019.58904109589
"69",-1034.65753424658
"70",-1049.72602739726
"71",-1064.79452054795
"72",-1079.86301369863
"73",-1094.93150684932
"74",-1110
